Gender,Event M/W,Location,Year,Medal,Name,Nationality,Result,Event,Time_Cleaned,MixMatch
M,10000M Men,Moscow,1980,B,Mohammed KEDIR,ETH,00:27:45,10000M,1665,MMoscow1980B10000M
M,10000M Men,Munich,1972,G,Lasse VIREN,FIN,00:27:38,10000M,1658,MMunich1972G10000M
M,10000M Men,Munich,1972,S,Emiel PUTTEMANS,BEL,00:27:40,10000M,1660,MMunich1972S10000M
M,10000M Men,Munich,1972,B,Miruts YIFTER,ETH,00:27:41,10000M,1661,MMunich1972B10000M
M,10000M Men,Tokyo,1964,G,Billy MILLS,USA,00:28:24,10000M,1704,MTokyo1964G10000M
M,10000M Men,Tokyo,1964,S,Mohamed GAMMOUDI,TUN,00:28:25,10000M,1705,MTokyo1964S10000M
M,10000M Men,Tokyo,1964,B,Ron CLARKE,AUS,00:28:26,10000M,1706,MTokyo1964B10000M
M,10000M Men,Melbourne / Stockholm,1956,G,Vladimir KUTS,URS,00:28:46,10000M,1726,MMelbourne / Stockholm1956G10000M
M,10000M Men,Melbourne / Stockholm,1956,S,JÃ³zsef KOVÃCS,HUN,00:28:52,10000M,1732,MMelbourne / Stockholm1956S10000M
M,10000M Men,Melbourne / Stockholm,1956,B,Allan LAWRENCE,AUS,00:28:54,10000M,1734,MMelbourne / Stockholm1956B10000M
M,10000M Men,London,1948,G,Emil ZÃTOPEK,TCH,00:30:00,10000M,1800,MLondon1948G10000M
M,10000M Men,London,1948,S,Alain MIMOUN,FRA,00:30:47,10000M,1847,MLondon1948S10000M
M,10000M Men,London,1948,B,Bertil ALBERTSSON,SWE,00:30:54,10000M,1854,MLondon1948B10000M
M,10000M Men,Los Angeles,1932,G,Janusz KUSOCINSKI,POL,00:30:11,10000M,1811,MLos Angeles1932G10000M
M,10000M Men,Los Angeles,1932,S,Volmari ISO-HOLLO,FIN,00:30:13,10000M,1813,MLos Angeles1932S10000M
M,10000M Men,Los Angeles,1932,B,Lauri VIRTANEN,FIN,00:30:35,10000M,1835,MLos Angeles1932B10000M
M,10000M Men,Paris,1924,G,Ville RITOLA,FIN,00:30:23,10000M,1823,MParis1924G10000M
M,10000M Men,Paris,1924,S,Edvin WIDE,SWE,00:30:55,10000M,1855,MParis1924S10000M
M,10000M Men,Paris,1924,B,Eero BERG,FIN,00:31:43,10000M,1903,MParis1924B10000M
M,10000M Men,Stockholm,1912,G,Hannes KOLEHMAINEN,FIN,00:31:21,10000M,1881,MStockholm1912G10000M
M,10000M Men,Stockholm,1912,S,Lewis TEWANIMA,USA,00:32:07,10000M,1927,MStockholm1912S10000M
M,10000M Men,Stockholm,1912,B,Albin STENROOS,FIN,00:32:22,10000M,1942,MStockholm1912B10000M
M,100M Men,Rio,2016,G,Usain BOLT,JAM,9.81,100M,9.81,MRio2016G100M
M,100M Men,Rio,2016,S,Justin GATLIN,USA,9.89,100M,9.89,MRio2016S100M
M,100M Men,Rio,2016,B,Andre DE GRASSE,CAN,9.91,100M,9.91,MRio2016B100M
M,100M Men,Beijing,2008,G,Usain BOLT,JAM,9.69,100M,9.69,MBeijing2008G100M
M,100M Men,Beijing,2008,S,Richard THOMPSON,TTO,9.89,100M,9.89,MBeijing2008S100M
M,100M Men,Beijing,2008,B,Walter DIX,USA,9.91,100M,9.91,MBeijing2008B100M
M,100M Men,Sydney,2000,G,Maurice GREENE,USA,9.87,100M,9.87,MSydney2000G100M
M,100M Men,Sydney,2000,S,Ato BOLDON,TTO,9.99,100M,9.99,MSydney2000S100M
M,100M Men,Sydney,2000,B,Obadele THOMPSON,BAR,10.04,100M,10.04,MSydney2000B100M
M,100M Men,Barcelona,1992,G,Linford CHRISTIE,GBR,9.96,100M,9.96,MBarcelona1992G100M
M,100M Men,Barcelona,1992,S,Frank FREDERICKS,NAM,10.02,100M,10.02,MBarcelona1992S100M
M,100M Men,Barcelona,1992,B,Dennis MITCHELL,USA,10.04,100M,10.04,MBarcelona1992B100M
M,100M Men,Los Angeles,1984,G,Carl LEWIS,USA,9.99,100M,9.99,MLos Angeles1984G100M
M,100M Men,Los Angeles,1984,S,Sam GRADDY,USA,10.19,100M,10.19,MLos Angeles1984S100M
M,100M Men,Los Angeles,1984,B,Ben JOHNSON,CAN,10.22,100M,10.22,MLos Angeles1984B100M
M,100M Men,Montreal,1976,G,Hasely CRAWFORD,TTO,10.06,100M,10.06,MMontreal1976G100M
M,100M Men,Montreal,1976,S,Donald QUARRIE,JAM,10.08,100M,10.08,MMontreal1976S100M
M,100M Men,Montreal,1976,B,Valery BORZOV,URS,10.14,100M,10.14,MMontreal1976B100M
M,100M Men,Mexico,1968,G,Jim HINES,USA,9.9,100M,9.9,MMexico1968G100M
M,100M Men,Mexico,1968,S,Lennox MILLER,JAM,10,100M,10,MMexico1968S100M
M,100M Men,Mexico,1968,B,Charlie GREENE,USA,10,100M,10,MMexico1968B100M
M,100M Men,Rome,1960,G,Armin HARY,EUA,10.2,100M,10.2,MRome1960G100M
M,100M Men,Rome,1960,S,Dave SIME,USA,10.2,100M,10.2,MRome1960S100M
M,100M Men,Rome,1960,B,Peter RADFORD,GBR,10.3,100M,10.3,MRome1960B100M
M,100M Men,Helsinki,1952,G,Lindy REMIGINO,USA,10.4,100M,10.4,MHelsinki1952G100M
M,100M Men,Helsinki,1952,S,Herbert MCKENLEY,JAM,10.4,100M,10.4,MHelsinki1952S100M
M,100M Men,Helsinki,1952,B,Emmanuel McDONALD BAILEY,GBR,10.4,100M,10.4,MHelsinki1952B100M
M,100M Men,Berlin,1936,G,Jesse OWENS,USA,10.3,100M,10.3,MBerlin1936G100M
M,100M Men,Berlin,1936,S,Ralph METCALFE,USA,10.4,100M,10.4,MBerlin1936S100M
M,100M Men,Berlin,1936,B,Martinus OSENDARP,NED,10.5,100M,10.5,MBerlin1936B100M
M,100M Men,Amsterdam,1928,G,Percy WILLIAMS,CAN,10.8,100M,10.8,MAmsterdam1928G100M
M,100M Men,Amsterdam,1928,S,Jack LONDON,GBR,10.9,100M,10.9,MAmsterdam1928S100M
M,100M Men,Amsterdam,1928,B,Georg LAMMERS,GER,10.9,100M,10.9,MAmsterdam1928B100M
M,100M Men,Antwerp,1920,G,Charles PADDOCK,USA,10.8,100M,10.8,MAntwerp1920G100M
M,100M Men,Antwerp,1920,S,Morris KIRKSEY,USA,10.8,100M,10.8,MAntwerp1920S100M
M,100M Men,Antwerp,1920,B,Harry EDWARD,GBR,10.9,100M,10.9,MAntwerp1920B100M
M,100M Men,London,1908,G,Reggie WALKER,RSA,10.8,100M,10.8,MLondon1908G100M
M,100M Men,London,1908,S,John RECTOR,USA,None,100M,0,MLondon1908S100M
M,100M Men,London,1908,B,Robert KERR,CAN,None,100M,0,MLondon1908B100M
M,100M Men,Paris,1900,G,Frank JARVIS,USA,11,100M,11,MParis1900G100M
M,100M Men,Paris,1900,S,Walter TEWKSBURY,USA,11.1,100M,11.1,MParis1900S100M
M,100M Men,Paris,1900,B,Stanley ROWLEY,AUS,11.2,100M,11.2,MParis1900B100M
M,100M Men,London,2012,G,Usain BOLT,JAM,9.63,100M,9.63,MLondon2012G100M
M,100M Men,London,2012,S,Yohan BLAKE,JAM,9.75,100M,9.75,MLondon2012S100M
M,100M Men,London,2012,B,Justin GATLIN,USA,9.79,100M,9.79,MLondon2012B100M
M,100M Men,Athens,2004,G,Justin GATLIN,USA,9.85,100M,9.85,MAthens2004G100M
M,100M Men,Athens,2004,S,Francis OBIKWELU,POR,9.86,100M,9.86,MAthens2004S100M
M,100M Men,Athens,2004,B,Maurice GREENE,USA,9.87,100M,9.87,MAthens2004B100M
M,100M Men,Atlanta,1996,G,Donovan BAILEY,CAN,9.84,100M,9.84,MAtlanta1996G100M
M,100M Men,Atlanta,1996,S,Frank FREDERICKS,NAM,9.89,100M,9.89,MAtlanta1996S100M
